 ,,,,,,,"Black = In the past
Red = < 3 days but not past
Orange = 3 to 7 days from now
Yellow = 7 to 30 days
Green = > 30 days",,"Black = In the past
Red = < 3 days but not past
Orange = 3 to 7 days from now
Yellow = 7 to 30 days
Green = > 30 days","$2,396,710",,,
Opportunity,Point Person,Support Role,Notes,Date Last Confirmed,Mailing?,Question/Answers,Due Date,Announce Date,Funding Arrives (Assume Win Date+30-45 days),Value,Entity,Source,Applying Entity
Tri County Council for Western Maryland (Grant Writing RFP),Saxon,Cale,Remove January 12th if no reply,,,,8/29/2025,12/5/2025,,"$9,640",,,
Ohio - Zoning Code Update and Land Use Plan,Saxon,Cale,Remove January 12th if no reply,,,,9/12/2025,12/5/2025,,"$146,920",,,
RFP - Bossier Parish - Community Planning,Saxon,Cale,Remove January 12th if no reply,,,,9/22/2025,12/5/2025,,"$139,650",,,
RFP - Rochester - Climate Action Plan Update,Saxon,Cale,Remove January 12th if no reply,,,,9/22/2025,12/5/2025,,"$72,000",,,
RFQ: Broken Arrow Main Street Master Plan,Saxon,Cale,Remove January 12th if no reply,,,,10/10/2025,12/5/2025,,"$50,000",,,
RFP - County of Burlington Grants Writer Services,Saxon,Cale,Remove January 12th if no reply,,,,10/15/2025,12/5/2025,,"$150,000",,,
RFP - Ponca Webservices,Saxon,Cale,Website Development Services Ponca Tribe of Nebraska ,,,,12/12/2025,2/28/26,,"$28,500",,,
Harris School - University of Chicago,Saxon,N/A,"Emailed, delete in February if nothing back",,,,10/28/2025,2/28/26,,N/A,,,
West Gate NREL Fellowship (2 Year),Saxon,N/A,"By End of february, should have interview if semi-finalist - WestGate Application",,,,11/7/2025,2/28/26,,N/A,,,
https://chainreaction.anl.gov/apply/ ,Saxon,N/A,"By End of february, should have interview if semi-finalist CRI_Cohort-8-Application_R3A.pdf Chain Reaction Application",,,,11/7/2025,2/28/26,,N/A,,,
Economist Article (Finance),Saxon,N/A,"Emailed Economist, asked if they've made a decision",,,,11/7/2025,1/30/26,,N/A,,,
